Iteration;current;opt;gap
668;7542;7496;0.613661
669;7542;7496;0.613661
670;7542;7496;0.613661
671;7542;7496;0.613661
672;7542;7496;0.613661
673;7542;7496;0.613661
674;7542;7496;0.613661
675;7542;7496;0.613661
676;7542;7496;0.613661
677;7542;7496;0.613661
678;7542;7496;0.613661
679;7543;7496;0.627001
680;7543;7496;0.627001
681;7543;7496;0.627001
682;7542;7496;0.613661
683;7542;7496;0.613661
684;7542;7496;0.613661
685;7543;7496;0.627001
686;7543;7496;0.627001
687;7542;7496;0.613661
688;7542;7496;0.613661
